--------------------------------------------------------------------------------------------------------
|                                     DescribeLaunchConfigurations                                     |
+-------------------------------------------------------------+------------------------+---------------+
|  hkdl-commerce2-S0001423-apne1-lod-config-20230719071201908 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lod-config-20231128071809436 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lod-config-20231128095330774 |  ami-09d158341d5031717 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lod-config-20240103072839445 |  ami-02b29b89ed2e31f4c |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lod-config-20240124073204694 |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lod-config-20240214072034596 |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lod-config-20240306071439449 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lod-config-20240327071724712 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lod-config-20240411          |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lst-config-20230718071322368 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lst-config-20240123104940494 |  ami-0066762929bae8081 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lst-config-20240213071930451 |  ami-0f82e520c19be89f2 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lst-config-20240305071855356 |  ami-0b928fdf8148ced5f |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lst-config-20240326073710344 |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
|  hkdl-commerce2-S0001423-apne1-lst-config-20240410          |  ami-0d4b18ebb8e22b004 |  m6i.4xlarge  |
